Subject,Number,Section,Title,surveyID,Name,single submission,Q6: answers,Custom,Custom,crosslist,ContributorsPlug,Responses,Total Enrollment,,,,Response Rate
ECE,110,,Intro Elec & Computer Engrg,2233065,ECE 110: Intro Elec & Computer Engrg - DEN HKN Survey Spring 2013,yes,"MATH 221, PHYS 212, Other",,,,,72,403,ECE,110,,0.17866005
ECE,190,,Intro to Computing Systems,937169,ECE 190: Intro to Computing Systems - DEN HKN Survey Spring 2013,yes,"ECE 110, Other","{""question"": ""Rate your programming experience prior to taking this class:"", ""answers"": [""1 -  no programming experience"", ""2 - some programming experience"", ""3 - significant programming experience""], ""type"": ""Radio"", ""rank"": 10, ""required"": true}",,,,55,270,ECE,190,,0.203703704
ECE,210,,Analog Signal Processing,2170084,ECE 210: Analog Signal Processing - DEN HKN Survey Spring 2013,yes,"ECE 110, MATH 286, PHYS 212, Other","{""question"": ""Of the time you spend on this class outside of lecture, how much time do you spend on work for the lab section outside of the assigned lab time?"", ""answers"": [""0-3 hours"", ""4-7 hours"", ""8-11 hours"", ""12+ hours""], ""type"": ""Radio"", ""rank"": 10, ""required"": true}","{""question"": ""Rate the lab on relevance and helpfulness in relation to the class material"", ""answers"": [""1 - not helpful / relevant"", ""2"", ""3"",  ""4"", ""5 - Very helpful and relevant""], ""type"": ""Radio"", ""rank"": 11, ""required"": true}",,,53,284,ECE,210,,0.186619718
ECE,290,,Computer Engineering I,5368614,ECE 290: Computer Engineering I - DEN HKN Survey Spring 2013,yes,"CS 173, MATH 213, ECE 110, ECE 190, Other",,,,,53,253,ECE,290,,0.209486166
ECE,304,,Photonic Devices,9597140,ECE 304: Photonic Devices - DEN HKN Survey Spring 2013,yes,"ECE 210, ECE 340, PHYS 213, PHYS 214, ECE 329, PHYS 212, Other",,,,,9,32,ECE,304,,0.28125
ECE,307,,Techniques for Engrg Decisions,7812333,ECE 307: Techniques for Engrg Decisions - DEN HKN Survey Spring 2013,yes,"MATH 221, MATH 231, MATH 241, MATH 286, ECE 210, ECE 313, Other ",,,,"Additionally, we are looking for students who are willing to write a course review about ECE 307 for Dr. Everitt's Neighborhood.  Anyone who is interested in helping should contact Sam Buercklin at buerckl2@illinois.edu.",6,32,ECE,307,,0.1875
ECE,310,,Digital Signal Processing,6569947,ECE 310: Digital Signal Processing - DEN HKN Survey Spring 2013,yes,"ECE 210, Other","{""question"": ""Are you currently enrolled in ECE 311?"", ""answers"": [""yes"", ""no""], ""type"": ""Radio"", ""rank"": 10, ""required"": true}",,,,37,148,ECE,310,,0.25
ECE,311,,Digital Signal Processing Lab,8971221,ECE 311: Digital Signal Processing Lab - DEN HKN Survey Spring 2013,yes,"ECE 210, Other",,,,,23,68,ECE,311,,0.338235294
ECE,313,,Probability with Engrg Applic,5773547,ECE 313/MATH 362: Probability with Engrg Applic - DEN HKN Survey Spring 2013,yes,"CS 173, MATH 213, ECE 110, ECE 210, Other","{""question"": ""Have you taken a discrete mathematics course like MATH 213 or CS 173?  If so, rate how useful this class was in preparing you for ECE 313."", ""answers"": [""N/A - have not taken a discrete math class"", ""1 - Not useful"", ""2"", ""3"", ""4"", ""5 - Very helpful""], ""type"": ""Radio"", ""rank"": 10, ""required"": true}",,MATH 362,,39,222,ECE,313,,0.175675676
ECE,329,,Fields and Waves I,5800458,ECE 329: Fields and Waves I - DEN HKN Survey Spring 2013,yes,"ECE 210, PHYS 212, MATH 241, MATH 286, Other",,,,,43,231,ECE,329,,0.186147186
ECE,330,,Power Ckts & Electromechanics,8679039,ECE 330: Power Ckts & Electromechanics - DEN HKN Survey Spring 2013,yes,"ECE 210, ECE 329, ECE 333, PHYS 212, MATH 241, MATH 415, Other",,,,,28,152,ECE,330,,0.184210526
ECE,333,,Green Electric Energy,5158519,ECE 333: Green Electric Energy - DEN HKN Survey Spring 2013,yes,"ECE 210, ECE 313, ECE 329, ECE 330, MATH 241, Other",,,,,15,80,ECE,333,,0.1875
ECE,340,,Semiconductor Electronics,7660941,ECE 340: Semiconductor Electronics - DEN HKN Survey Spring 2013,yes,"ECE 210, ECE 329, PHYS 212, PHYS 213, PHYS 214, Other",,,,,49,252,ECE,340,,0.194444444
ECE,342,,Electronic Circuits,8275428,ECE 342: Electronic Circuits - DEN HKN Survey Spring 2013,yes,"ECE 110, ECE 210, ECE 329, ECE 340, MATH 286, PHYS 212, Other","{""question"": ""Are you currently enrolled in ECE 343?"", ""answers"": [""yes"", ""no""], ""type"": ""Radio"", ""rank"": 10, ""required"": true}",,,,35,182,ECE,342,,0.192307692
